,Keywords,Coherence c_v
0,"['features', 'classification', 'learning', 'datasets', 'models', 'ai', 'networks', 'neural', 'trained', 'dataset']",0.4223467978785219
1,"['medical', 'clinical', 'patients', 'medicine', 'med', 'clinician', 'physician', 'doctor', 'annotated', 'physicians']",0.6112921288535738
2,"['recommender', 'recommenders', 'personalized', 'conversational', 'recommendation', 'recommendations', 'factorization', 'embeddings', 'attention', 'ranking']",0.6114976209565052
3,"['translations', 'translators', 'multilingual', 'lingual', 'translating', 'bilingual', 'translation', 'monolingual', 'translated', 'languages']",0.7344624704245789
4,"['robotic', 'robot', 'robotics', 'robots', 'grasping', 'manipulator', 'teleoperation', 'embodied', 'grasp', 'humanoid']",0.7726833424143702
5,"['cnn', 'segmentation', 'cnns', 'segmentations', 'segmenting', 'supervised', 'deep', 'convolutional', 'attention', 'ultrasound']",0.616960762040347
6,"['quantum', 'qubits', 'qubit', 'qcnns', 'qcnn', 'grover', 'entanglement', 'qnns', 'qiskit', 'qnn']",0.6627869754452159
7,"['adversarial', 'adversarially', 'adversary', 'attacks', 'attacker', 'adversaries', 'backdoors', 'defenses', 'classifiers', 'threats']",0.7715141577284971
8,"['agent', 'agents', 'planning', 'ai', 'planner', 'automation', 'planners', 'tasks', 'plans', 'autonomous']",0.6533680155251687
9,"['molecular', 'molecule', 'molecules', 'ligands', 'proteins', 'ligand', 'protein', 'receptor', 'modeling', 'models']",0.7937834017245111
10,"['reasoning', 'prompting', 'thinking', 'prompts', 'inference', 'deductive', 'prompt', 'tasks', 'knowledge', 'logic']",0.5357633009907683
11,"['compilers', 'programming', 'coding', 'compiler', 'code', 'programmers', 'snippets', 'developers', 'programmer', 'apis']",0.6983573284345733
12,"['causal', 'causality', 'causally', 'confounders', 'unobserved', 'inference', 'discovery', 'observational', 'data', 'inferring']",0.6500965183087957
13,"['retrieval', 'semantic', 'search', 'relevance', 'corpus', 'ranking', 'recall', 'retrieved', 'indexing', 'retrievers']",0.6684916958849507
14,"['multimodal', 'visual', 'captioning', 'mllm', 'modality', 'mllms', 'comprehension', 'textual', 'text', 'answering']",0.8058222988468005
15,"['forecasting', 'forecasts', 'forecast', 'lstm', 'prediction', 'predictive', 'seasonal', 'future', 'attention', 'models']",0.6449859082629075
16,"['highway', 'driving', 'autonomous', 'traffic', 'road', 'vehicles', 'lane', 'planning', 'vehicle', 'cars']",0.8468056501453409
17,"['optimizers', 'sgd', 'optimizer', 'gradient', 'gradients', 'adaptive', 'optimization', 'stochastic', 'adam', 'hessian']",0.7992779257118536
18,"['neural', 'networks', 'regularization', 'neurons', 'relu', 'gradient', 'resnets', 'layers', 'weights', 'approximation']",0.5941759889865784
